threads,sample,parallel
1,100,0.462
1,1000,0.009
1,10000,0.009
1,100000,0.021
1,1000000,0.136
1,10000000,1.293
1,50000000,6.442
1,100000000,13.263
2,100,0.009
2,1000,0.009
2,10000,0.035
2,100000,0.017
2,1000000,0.087
2,10000000,0.816
2,50000000,3.917
2,100000000,7.989
3,100,0.010
3,1000,0.010
3,10000,0.011
3,100000,0.016
3,1000000,0.074
3,10000000,0.630
3,50000000,3.137
3,100000000,6.187
4,100,0.009
4,1000,0.010
4,10000,0.011
4,100000,0.014
4,1000000,0.061
4,10000000,0.534
4,50000000,2.695
4,100000000,5.449
5,100,0.009
5,1000,0.008
5,10000,0.009
5,100000,0.016
5,1000000,0.076
5,10000000,0.550
5,50000000,2.696
5,100000000,5.469
6,100,0.009
6,1000,0.010
6,10000,0.011
6,100000,0.014
6,1000000,0.065
6,10000000,0.553
